"","category_name","group_name","total_members","city","created"
"3297","Community & Environment","Helping Meetup Members",1,"New York City",2017-03-01
"3298","Community & Environment","Hipcamp Northern California",1,"San Francisco",2016-03-15
"3299","Community & Environment","Holiday Coat & Toy Drive at Troy Liquor Bar",1,"New York City",2016-12-22
"3300","Community & Environment","How To Activate Your Inner Activist",26,"New York City",2017-02-16
"3301","Community & Environment","I Left My Wand in San Francisco",213,"San Francisco",2014-08-13
"3302","Community & Environment","Intelligent Activism",86,"New York City",2017-07-11
"3303","Community & Environment","Intelligent Property Management",26,"New York City",2017-10-01
"3304","Community & Environment","International African American Foundation",149,"Chicago",2017-04-07
"3305","Community & Environment","Jefferson Towers Independent Forum",1,"New York City",2014-10-13
"3306","Community & Environment","Join a Mentor Community with iMentor",7,"San Francisco",2017-09-06
"3307","Community & Environment","Juri Commoners: Caring for Juri Commons Park",59,"San Francisco",2014-02-19
"3308","Community & Environment","Kips Bay Neighborhood Alliance",5,"New York City",2012-07-18
"3309","Community & Environment","La Nueva Causa | The New Cause (SF)",24,"San Francisco",2017-04-26
"3310","Community & Environment","Let's Explore New York's Neighborhoods!",1348,"New York City",2013-02-14
"3311","Community & Environment","Let's Give!",189,"San Francisco",2015-05-14
"3312","Community & Environment","Let's make a difference",1,"New York City",2015-10-30
"3313","Community & Environment","Lets make real friends!",1,"Chicago",2017-08-19
"3314","Community & Environment","Life Teaches",22,"Chicago",2017-01-12
"3315","Community & Environment","Live Simply, Live Well, Make a Difference...Chicago!",119,"Chicago",2017-04-17
"3316","Community & Environment","Living Green / Growing Food In The City!",1,"New York City",2007-09-21
"3317","Community & Environment","Local economy, I love you.",1,"New York City",2017-02-22
"3318","Community & Environment","Love Serve SF",18,"San Francisco",2017-06-20
"3319","Community & Environment","MadCity happening NYC",22,"New York City",2017-06-07
"3320","Community & Environment","Manhattan Soup Kitchen Volunteer Opportunity",308,"New York City",2012-04-23
"3321","Community & Environment","Meeting Humans of New York",130,"New York City",2017-04-30
"3322","Community & Environment","Meetup for a Cause",42,"Chicago",2017-09-30
"3323","Community & Environment","Members Against Meetup's New View",6,"San Francisco",2010-03-09
"3324","Community & Environment","MIRROR Mentors",38,"Chicago",2017-10-20
"3325","Community & Environment","Monday Lunch Service at the biggest shelter in SF",40,"San Francisco",2017-07-17
"3326","Community & Environment","Morningside Park Gardeners",16,"New York City",2017-10-19
"3327","Community & Environment","Nassau, Suffolk County & NY.City Tours (Arts,Culture, Music)",353,"New York City",2015-07-02
"3328","Community & Environment","Nature in the City",370,"San Francisco",2013-06-10
"3329","Community & Environment","neigh*borrow",24,"New York City",2012-12-20
"3330","Community & Environment","Nepali Mentorship in New York",4,"New York City",2017-07-13
"3331","Community & Environment","New York - New Jersey - Family of Women  Chapter",1,"New York City",2016-03-11
"3332","Community & Environment","New York Back-to-the-Land / Ecovillage Movement",55,"New York City",2016-01-19
"3333","Community & Environment","New York Black Lives Matter Meetup",64,"New York City",2016-10-27
"3334","Community & Environment","New York City Beekeeping                   nycbeekeeping.org",1037,"New York City",2006-04-24
"3335","Community & Environment","New York City Cyclist Issues",34,"New York City",2015-11-24
"3336","Community & Environment","New York City Group Income Meetup",14,"New York City",2017-03-16
"3337","Community & Environment","New York City Prepper's Network (APN Chapter)",1,"New York City",2010-02-10
"3338","Community & Environment","New York City Preppers Network (Back Up Site)",19,"New York City",2012-11-25
"3339","Community & Environment","New York City Shoebox Project for Shelters Meetup",39,"New York City",2015-11-16
"3340","Community & Environment","New York City Waste Reduction",40,"New York City",2017-04-29
"3341","Community & Environment","New York CleanTech, AgTech and Sustainability Events",36,"New York City",2017-09-21
"3342","Community & Environment","New York Cloud Gazing",3,"New York City",2016-03-01
"3343","Community & Environment","New York Construction Technology Meetup",90,"New York City",2016-07-18
"3344","Community & Environment","New York Designers for Social Change",467,"New York City",2010-03-11
"3345","Community & Environment","New York E-Commerce Meetup",39,"New York City",2017-05-09
"3346","Community & Environment","New York Earthships Meetup",1,"New York City",2017-09-30
"3347","Community & Environment","New York Energy and Sustainability Thought Leaders",103,"New York City",2017-05-03
"3348","Community & Environment","NEW YORK ENERGY WEEK MEETUP",885,"New York City",2013-04-28
"3349","Community & Environment","New York Gardening Meetup",30,"New York City",2016-09-19
"3350","Community & Environment","New York Homelessness Meetup",72,"New York City",2017-06-07
"3351","Community & Environment","New York Love For The Homeless",58,"New York City",2016-07-26
"3352","Community & Environment","New York Love For The Homeless",58,"New York City",2016-07-26
"3353","Community & Environment","New York Public Radio Community Advisory Board (CAB)",81,"New York City",2016-09-24
"3354","Community & Environment","New York Survivalism OFF GRID LIVING Meetup",21,"New York City",2017-07-31
"3355","Community & Environment","New York Sustainability Finance Professionals Meetup",196,"New York City",2016-10-16
"3356","Community & Environment","New York Volunteering Meetup - One Brick NYC",138,"New York City",2016-11-18
"3357","Community & Environment","New York Young Professionals for CARE",105,"New York City",2017-08-15
"3358","Community & Environment","Non-Profit Networking Group",298,"Chicago",2015-01-06
"3359","Community & Environment","Non-Profits Professionals Network",267,"New York City",2015-05-27
"3360","Community & Environment","Nonprofit Event Planning Volunteering",47,"New York City",2015-07-10
"3361","Community & Environment","Nonprofit Executive Directors (NED) Meetup",248,"New York City",2015-02-01
"3362","Community & Environment","Northside Chicago Social Club",295,"Chicago",2017-01-02
"3363","Community & Environment","NY Passive House (NYPH) Meetup: New York",1296,"New York City",2009-11-09
"3364","Community & Environment","NY RECYCLE REVAMP FASHIONS",1,"New York City",2011-04-13
"3365","Community & Environment","NY Sharing Economy Meetup",654,"New York City",2014-11-03
"3366","Community & Environment","NYC Composting & Soil Regeneration",1,"New York City",2017-09-26
"3367","Community & Environment","NYC Criminal, Divorce & Immigration Law Group",38,"New York City",2016-07-01
"3368","Community & Environment","NYC Family Office Networking Events",81,"New York City",2011-02-04
"3369","Community & Environment","NYC Freegan Meetup",1100,"New York City",2003-04-18
"3370","Community & Environment","NYC Fundraiser Events Meetup",14,"New York City",2017-09-20
"3371","Community & Environment","NYC Grassroots Alliance",667,"New York City",2012-05-05
"3372","Community & Environment","NYC Non-Profit Meetup Club (NYCNP)",1633,"New York City",2003-04-29
"3373","Community & Environment","NYC Premiere Sustainability Networking and Workshop Meetup",90,"New York City",2015-02-11
"3374","Community & Environment","NYC Pro-Nuclear Greens Meetup",10,"New York City",2014-09-23
"3375","Community & Environment","NYC PWDs",113,"New York City",2006-10-01
"3376","Community & Environment","NYC Sustained Global Impact Community of Practice",4,"New York City",2017-07-14
"3377","Community & Environment","NYC Tiny House Build: Empowering Women/Girls Meetup",323,"New York City",2016-10-06
"3378","Community & Environment","NYC Urban Tech",159,"New York City",2017-05-08
"3379","Community & Environment","NYC Visa Holders/ Greencard Applicants Group",1,"New York City",2016-12-04
"3380","Community & Environment","NYC Volunteer Opportunities and Community Service!",1629,"New York City",2008-07-03
"3381","Community & Environment","NYC Volunteering Singles",120,"New York City",2017-05-31
"3382","Community & Environment","oFree New York Eco-friendly FREE Stuff Swapping Group",32,"New York City",2017-10-13
"3383","Community & Environment","One Hope NYC (PCUSA/ Progressive)",70,"New York City",2017-01-14
"3384","Community & Environment","Order Out of Chaos - The Great Transition",35,"San Francisco",2017-01-19
"3385","Community & Environment","Our Common Bond -  Boomer Women 60+",20,"San Francisco",2011-05-09
"3386","Community & Environment","Our Voice NYC",18,"New York City",2017-06-01
"3387","Community & Environment","Party for a Cause Volunteering Group",163,"New York City",2015-07-24
"3388","Community & Environment","Passive House Alliance Chicago",367,"Chicago",2010-09-28
"3389","Community & Environment","Passive House Alliance SF",60,"San Francisco",2011-12-23
"3390","Community & Environment","Passive House California",109,"San Francisco",2012-10-16
"3391","Community & Environment","Pay It Forward",1,"Chicago",2012-02-02
"3392","Community & Environment","People's Climate Movement - NY",298,"New York City",2014-06-26
"3393","Community & Environment","People 4 People",12,"Chicago",2017-06-24
"3394","Community & Environment","Philanthro SF",201,"San Francisco",2013-02-14
"3395","Community & Environment","Pickens Plan NYC",28,"New York City",2008-05-07
"3396","Community & Environment","Planned Acts Of Kindness - The Karma Club",1,"New York City",2017-02-14
"3397","Community & Environment","Prepare Defend Survive",148,"New York City",2012-03-14
"3398","Community & Environment","PREPPING IN THE CITY",53,"New York City",2011-01-14
"3399","Community & Environment","Primitive Skills",1,"Chicago",2007-08-04
"3400","Community & Environment","Professional Mentor Match",78,"Chicago",2014-07-29
"3401","Community & Environment","Progress and Prosperity, Land and Liberty  New York City",225,"New York City",2012-10-15
"3402","Community & Environment","Progressive Human-scale Urbanism for NYC",34,"New York City",2017-02-01
"3403","Community & Environment","PublicRelationsCares.org",32,"New York City",2011-02-25
"3404","Community & Environment","Racial and Social Justice in the Library",103,"New York City",2017-03-13
"3405","Community & Environment","Resilience NYC Meetup Group",564,"New York City",2004-06-06
"3406","Community & Environment","Rogers Park Pick-Up",120,"Chicago",2017-05-21
"3407","Community & Environment","Roomi - new places and new people",1,"New York City",2016-10-27
"3408","Community & Environment","Rotary Chicago Near South Events",24,"Chicago",2016-03-09
"3409","Community & Environment","San Francisco Alzheimer's Association Volunteer Group",30,"San Francisco",2017-03-27
"3410","Community & Environment","San Francisco Bay Area Environmental Professionals Group",494,"San Francisco",2011-05-06
"3411","Community & Environment","San Francisco Bicycle Coalition",468,"San Francisco",2013-01-08
"3412","Community & Environment","San Francisco Community Managers",585,"San Francisco",2010-10-21
"3413","Community & Environment","San Francisco Gardening Meetup (Sunset District)",73,"San Francisco",2015-07-27
"3414","Community & Environment","San Francisco Green Drinks Meetup",321,"San Francisco",2014-09-22
"3415","Community & Environment","San Francisco Green Giants",9,"San Francisco",2017-03-09
"3416","Community & Environment","San Francisco Live with Awareness Courage & Love Meetup",1,"San Francisco",2017-04-03
"3417","Community & Environment","San Francisco NE Mission Industrial Zone Trash Clean-ups",24,"San Francisco",2017-10-03
"3418","Community & Environment","San Francisco Rising Meetup",1,"San Francisco",2017-10-12
"3419","Community & Environment","San Francisco Rotary Club, SERVICE ABOVE SELF! (Club #2)",15,"San Francisco",2014-01-03
"3420","Community & Environment","San Francisco SDGs Meetup",29,"San Francisco",2017-08-23
"3421","Community & Environment","San Francisco Sunset + Richmond Urban Gardeners",141,"San Francisco",2013-04-23
"3422","Community & Environment","San Francisco Wildlife Enthusiasts",558,"San Francisco",2012-08-13
"3423","Community & Environment","San Francisco Women's Health Meetup",72,"San Francisco",2017-07-22
"3424","Community & Environment","San Francisco/Bay Area Youth Advocacy Meetup",25,"San Francisco",2015-02-22
"3425","Community & Environment","San Francisco: Shared Transportation Utopia",93,"San Francisco",2015-02-18
"3426","Community & Environment","SASF Champions Council",9,"New York City",2016-04-05
"3427","Community & Environment","Serve breakfast at the biggest homeless shelter in SF",54,"San Francisco",2017-07-06
"3428","Community & Environment","Serve dinner to the needy/afterparty with fellow volunteers",29,"San Francisco",2017-08-01
"3429","Community & Environment","SF Bay Area  Botany, Geology, Science, Hikes",185,"San Francisco",2011-10-15
"3430","Community & Environment","SF Bay Area Jewish Volunteers",190,"San Francisco",2012-09-20
"3431","Community & Environment","SF Cocktail Parties & Black Tie Socials",1,"San Francisco",2017-06-27
"3432","Community & Environment","SF Outward Bound Alumni and Social Volunteer Nights!",44,"San Francisco",2014-06-02
"3433","Community & Environment","SFFaMA Green's : Fashion Revolutionaries",1,"San Francisco",2012-10-28
"3434","Community & Environment","Shanti SF group movie night meet: PRIDE",22,"San Francisco",2014-10-05
"3435","Community & Environment","Shark Stewards Shout Out For Sharks Meetup",1,"San Francisco",2016-10-17
"3436","Community & Environment","Sierra Club NYC Group",33,"New York City",2017-02-07
"3437","Community & Environment","Silicon Climate - Climate Data Hackers",36,"San Francisco",2017-04-14
"3438","Community & Environment","Silicon Valley Open Innovation Group",76,"San Francisco",2012-09-26
"3439","Community & Environment","Smar10up Think Tank Brooklyn: Where Concerned Citizens Meet",27,"New York City",2017-08-28
"3440","Community & Environment","Smar10up Think Tank NYC - Where Concerned Citizens Meet",58,"New York City",2017-08-23
"3441","Community & Environment","Social Learning & You (SLAY)",1,"New York City",2017-09-29
"3442","Community & Environment","Solar Meet-Up",105,"San Francisco",2012-01-14
"3443","Community & Environment","SoMa Rotary",135,"San Francisco",2013-11-22
"3444","Community & Environment","Soul of Harlem",700,"New York City",2013-06-14
"3445","Community & Environment","Spark: igniting global change",77,"San Francisco",2016-11-30
"3446","Community & Environment","Spark: igniting global change (New York non-profit)",148,"New York City",2016-12-06
"3447","Community & Environment","Spatiotemporal Analysis for Community Health and Safety",120,"New York City",2013-09-29
"3448","Community & Environment","Special Olympics Chicago/SCC",247,"Chicago",2009-11-19
"3449","Community & Environment","St. Mary's - Stop Hunger Now!",1,"San Francisco",2016-04-07
"3450","Community & Environment","Support Group for Turnstile Jumpers",1,"New York City",2014-07-10
"3451","Community & Environment","Surfrider Foundation, NYC",457,"New York City",2013-06-24
"3452","Community & Environment","Sustainability Enthusiasts Action Group in San Francisco",1,"San Francisco",2016-12-10
"3453","Community & Environment","Sustainability Enthusiasts Discussion Group - San Francisco",1,"San Francisco",2015-06-04
"3454","Community & Environment","Sustainable Fashion Club of NYC",66,"New York City",2017-08-07
"3455","Community & Environment","Sustainable Tech - Chicago",256,"Chicago",2016-02-28
"3456","Community & Environment","Sustainable Urban Living & Homesteading",36,"New York City",2017-06-22
"3457","Community & Environment","Tech Workers for Affordable Housing",36,"San Francisco",2014-05-15
"3458","Community & Environment","TECHFLUENCE: Chicago Meetup",85,"Chicago",2017-08-18
"3459","Community & Environment","The Chicago Beekeeping Meetup Group",665,"Chicago",2007-06-19
"3460","Community & Environment","The Chicago First Time Home Buyers Meetup Group",1,"Chicago",2008-01-02
"3461","Community & Environment","The Chicago Natural Building Meetup Group",313,"Chicago",2004-07-24
"3462","Community & Environment","The Coffee Hour",595,"Chicago",2014-12-23
"3463","Community & Environment","The Food Waste Recovery SF Bay Area",114,"San Francisco",2016-04-21
"3464","Community & Environment","The G CAP Foundation, Inc.",29,"Chicago",2017-06-15
"3465","Community & Environment","The Human Trafficking Awareness Council",1,"New York City",2011-05-12
"3466","Community & Environment","The Metro NYC Environmental Meetup",634,"New York City",2007-03-08
"3467","Community & Environment","The New York Permaculture Meetup",834,"New York City",2006-08-17
"3468","Community & Environment","The New York Roof Deck and Roof Gardening Meetup Group",555,"New York City",2009-06-05
"3469","Community & Environment","The Next Level Up-- Hiking Towards Better Worlds",1,"San Francisco",2011-10-04
"3470","Community & Environment","The Nonprofit Business Connection",1,"New York City",2017-06-14
"3471","Community & Environment","The Resistance Book Club",139,"New York City",2017-03-12
"3472","Community & Environment","The San Francisco Giving Tree",2654,"San Francisco",2009-01-16
"3473","Community & Environment","The Square Roots Urban Farming Community, NYC",1697,"New York City",2016-10-28
"3474","Community & Environment","The Young and the Reuseless",36,"Chicago",2015-03-02
"3475","Community & Environment","The Zeitgeist Movement NYC",49,"New York City",2015-11-10
"3476","Community & Environment","The Zero Net Energy Working Group (ZNEWG)",145,"San Francisco",2012-03-02
"3477","Community & Environment","Think Act Change NYC",319,"New York City",2013-01-16
"3478","Community & Environment","ThinkThank",58,"San Francisco",2015-10-20
"3479","Community & Environment","This Counts Shoppers Club",1,"Chicago",2012-02-28
"3480","Community & Environment","This Old Farm Restoration Project",138,"New York City",2014-08-14
"3481","Community & Environment","Tiny Home Enthusiasts Chicagoland",477,"Chicago",2014-10-29
"3482","Community & Environment","Tiny House Bay Area",374,"San Francisco",2015-02-24
"3483","Community & Environment","Transforming Architectural Practice Meetup",369,"New York City",2014-03-07
"3484","Community & Environment","Transition Jeff Park",15,"Chicago",2012-07-17
"3485","Community & Environment","Tribespotted: Uniting Likeminded Communities",88,"New York City",2017-01-24
"3486","Community & Environment","Uber and Lyft Driver meetup - San Francisco",32,"San Francisco",2017-03-31
"3487","Community & Environment","Uber Grinders Unlimited",7,"Chicago",2017-04-17
"3488","Community & Environment","UNA-SF Womens Committee",62,"San Francisco",2016-12-01
"3489","Community & Environment","United Nations Association of the USA, San Francisco Chapter",51,"San Francisco",2017-10-18
"3490","Community & Environment","Unity in Community- Contributionism",1,"Chicago",2017-06-28
"3491","Community & Environment","Upper West Side Social Justice Meetup",133,"New York City",2016-02-02
"3492","Community & Environment","Uptown Social",443,"New York City",2013-10-07
"3493","Community & Environment","Urban AgTech",352,"San Francisco",2015-09-21
"3494","Community & Environment","URBAN SPACEship",162,"New York City",2012-02-27
"3495","Community & Environment","URBAN SPACEship :: SF",86,"San Francisco",2013-02-04
"3496","Community & Environment","Urban Sustainability NYC",828,"New York City",2015-05-22
"3497","Community & Environment","Urban Tech SF",250,"San Francisco",2013-04-01
"3498","Community & Environment","UUSF 20s and 30s Community",33,"San Francisco",2016-12-19
"3499","Community & Environment","Vivere Central Park Meetup",1,"New York City",2015-04-29
"3500","Community & Environment","Volunteer NYC",900,"New York City",2012-07-17
"3501","Community & Environment","Volunteer NYC or Internationally bound",125,"New York City",2016-05-10
"3502","Community & Environment","Volunteers - Cognizant Employees Only  - A Just Harvest",94,"Chicago",2017-01-04
"3503","Community & Environment","Volunteers for Susana A. Mendoza",1,"Chicago",2010-09-24
"3504","Community & Environment","W74 Meetup",2,"New York City",2011-06-12
"3505","Community & Environment","We .earth Meetup",22,"New York City",2017-04-21
"3506","Community & Environment","West Woodlawn Botanic Garden & Village Farm",24,"Chicago",2013-03-21
"3507","Community & Environment","WHY DIY",1,"New York City",2016-01-30
"3508","Community & Environment","Wilderness Survival",1,"Chicago",2013-04-16
"3509","Community & Environment","Women in Cleantech & Sustainability",511,"San Francisco",2011-01-09
"3510","Community & Environment","Wonks who Tech",18,"New York City",2015-09-27
"3511","Community & Environment","XPRIZE Think Tank San Francisco",208,"San Francisco",2015-03-03
"3512","Community & Environment","Young Professionals in Energy, SF Bay Area Chapter",387,"San Francisco",2014-04-02
"3513","Community & Environment","Young Variety NY",1,"New York City",2016-01-19
"3514","Community & Environment","Zazen and Dharma Talk at the NY Zen Center",1,"New York City",2015-03-25
"3515","Community & Environment","Zero Waste Show & Tell Meetup Bay Area",97,"San Francisco",2016-05-15
"3516","Community & Environment","Zero Waste Workshop Ecology",1,"San Francisco",2017-10-09
"3517","Dancing","2017 Chicago Mini Tango Festival",32,"Chicago",2017-04-11
"3518","Dancing","5Rhythms Rhythm Body",151,"New York City",2013-05-20
"3519","Dancing","A-town swing",102,"New York City",2015-07-23
"3520","Dancing","Adult Hip Hop Dance Classes in Chicago!",85,"Chicago",2017-09-24
"3521","Dancing","APE . Men Social Motion",20,"San Francisco",2017-08-08
"3522","Dancing","Bachadura Social Club",198,"New York City",2015-07-06
"3523","Dancing","Bachata in New York City!",490,"New York City",2013-01-25
"3524","Dancing","BACHATA NEW YORK Classes, Workshops,Parties & Special offers",981,"New York City",2010-06-16
"3525","Dancing","Bachata, Salsa, Samba, and S. American Meetup of New York!",1,"New York City",2014-07-31
"3526","Dancing","BachataMania",475,"New York City",2015-08-29
"3527","Dancing","Balkan Culture and Solidarity Meetup",33,"New York City",2016-11-26
"3528","Dancing","Ballet Basics for Adult Humans",797,"New York City",2010-02-16
"3529","Dancing","Ballroom Dancing with Stepping Out Studios! - Chelsea",68,"New York City",2014-10-08
"3530","Dancing","Bay Area - Salsa Practice Meetup",30,"San Francisco",2017-09-17
"3531","Dancing","Bay Area Ballroom Dancers",413,"San Francisco",2009-02-26
"3532","Dancing","Bay Area Dancers Group",1,"San Francisco",2016-02-27
"3533","Dancing","Bay Area Latin Dance",1,"San Francisco",2017-05-23
"3534","Dancing","Beginner Ballroom Dance Meetup",267,"Chicago",2016-11-07
"3535","Dancing","Beginner Hip Hop Dance Classes NYC",445,"New York City",2016-03-08
"3536","Dancing","Beginner Salsa Dance Lessons",373,"New York City",2017-05-14
"3537","Dancing","Beyonc Dance Class - learn 711 and/or Crazy In Love",1,"San Francisco",2017-02-14
"3538","Dancing","Bhangra Classes & Events in New York City",34,"New York City",2017-05-24
"3539","Dancing","Blazing Bachata Dancers of Chicago and the Suburbs",356,"Chicago",2007-07-09
"3540","Dancing","Blues Dance New York",484,"New York City",2015-11-03
"3541","Dancing","Bollywood Dance Party!",1124,"Chicago",2014-02-06
"3542","Dancing","Brunch Crew",33,"New York City",2017-06-11
"3543","Dancing","BRUNCHATA NYC",354,"New York City",2016-07-12
"3544","Dancing","Cecelia's Ballet Class",95,"San Francisco",2017-05-13
"3545","Dancing","celebrate tango",21,"New York City",2008-11-22
"3546","Dancing","Chi Town Is My  Town Dancing In The Street Party",49,"Chicago",2017-03-14
"3547","Dancing","Chicago Argentine Tango Events Shows & Asados Meetup",1,"Chicago",2017-05-28
"3548","Dancing","Chicago Ballroom-Latin Dance Meetup",1,"Chicago",2016-09-26
"3549","Dancing","Chicago Ballroom & Dancing",1205,"Chicago",2014-06-03
"3550","Dancing","Chicago Ballroom and Salsa Monthly 4 Week Dance Class",185,"Chicago",2016-11-02
"3551","Dancing","Chicago Dance Fitness Meetup",122,"Chicago",2017-09-22
"3552","Dancing","Chicago Dance Meetup Group",3438,"Chicago",2010-06-23
"3553","Dancing","Chicago folklore Performing Arts Meetup",1,"Chicago",2017-09-05
"3554","Dancing","Chicago Hula Hooping Meetup",35,"Chicago",2017-05-20
"3555","Dancing","Chicago MixxedFit Movement Meetup",75,"Chicago",2017-07-28
"3556","Dancing","Chicago Salsa Cubana Y Rueda De Casino Meetup",96,"Chicago",2017-08-16
"3557","Dancing","Chicago SALSA!",216,"Chicago",2016-08-17
"3558","Dancing","Chicago Style Stepping Classes",177,"Chicago",2017-03-14
"3559","Dancing","Chicago Swing Dancers",244,"Chicago",2015-09-26
"3560","Dancing","Chicagoland Ballroom Group",242,"Chicago",2015-04-09
"3561","Dancing","Chicagoland Square Dance Meetup",39,"Chicago",2014-05-30
"3562","Dancing","Connecting with others: Movement & Street Performance",16,"San Francisco",2015-09-17
"3563","Dancing","Connection Throught Movement, Dance and Play",12,"New York City",2017-10-08
"3564","Dancing","Country Dance New York",421,"New York City",2014-01-10
"3565","Dancing","CRY NEW YORK",45,"New York City",2017-04-14
"3566","Dancing","Cuban Salsa New York",2059,"New York City",2012-01-08
"3567","Dancing","Dance   Latina",1,"New York City",2017-03-13
"3568","Dancing","Dance San Francisco",1,"San Francisco",2009-03-25
"3569","Dancing","Dance Your Curves NYC",217,"New York City",2017-05-15
"3570","Dancing","Dance4people",20,"New York City",2013-03-19
"3571","Dancing","Dancehall & Reggae Alliance",484,"New York City",2008-01-05
"3572","Dancing","Dancing Flash Mobs NYC",482,"New York City",2012-10-29
"3573","Dancing","Dancing In Chicago",1,"Chicago",2017-09-29
"3574","Dancing","Downtown Tango Meetup",152,"New York City",2016-12-31
"3575","Dancing","DuDance - Fun Free Dance Events",475,"New York City",2014-10-02
"3576","Dancing","Empire Line Dancers(NYC)",1057,"New York City",2010-04-18
"3577","Dancing","Empire Steppers",377,"New York City",2014-03-09
"3578","Dancing","Ethnic Dance Chicago - Ethnic Dance Network Meetup",91,"Chicago",2014-02-04
"3579","Dancing","FIYAH maaaddness",29,"New York City",2016-06-07
"3580","Dancing","Flash Mob America (Chicago)",495,"Chicago",2013-04-10
"3581","Dancing","Flash Mob America (New York)",6013,"New York City",2010-03-11
"3582","Dancing","Friday Night Fever Oldies Disco  Meetup",108,"San Francisco",2016-03-29
"3583","Dancing","Ganesh Tutors Everything",1,"New York City",2016-06-26
"3584","Dancing","Get a Love Life!",60,"San Francisco",2007-11-29
"3585","Dancing","GET YOUR DANCE ON NYC!",2026,"New York City",2009-12-14
"3586","Dancing","girls who attract attention dancing in Chicago",186,"Chicago",2015-06-17
"3587","Dancing","Going on a Dance!",143,"San Francisco",2017-03-12
"3588","Dancing","Golden Gate Smooth Dancers",148,"San Francisco",2015-07-28
"3589","Dancing","Greek Dance Manhattan",121,"New York City",2013-03-04
"3590","Dancing","Harlem Bellydance Lessons Meetup",110,"New York City",2016-01-21
"3591","Dancing","Having Fun the Salsa Experience",1,"New York City",2016-09-13
"3592","Dancing","Hip Hop and AfroDance NYC",321,"New York City",2017-01-08
"3593","Dancing","Hustle in New York City",92,"New York City",2014-05-06
"3594","Dancing","International Dance & Music Meetup",276,"New York City",2013-01-06
"3595","Dancing","jslrlkrlrklrkrlkrlkr",1,"New York City",2017-02-24
"3596","Dancing","Kizomba and Semba Socials - NYC NJ PA BK CT DC",65,"New York City",2015-05-18
"3597","Dancing","Kizomba Dance Class in NYC",87,"New York City",2015-07-24
"3598","Dancing","Kizomba in New York City!",801,"New York City",2012-11-19
"3599","Dancing","Kizomba, Afro House, Kompa & Latin Dancing",186,"Chicago",2017-07-11
"3600","Dancing","KIZOMBA/SEMBA - NEW YORK, NEW JERSEY",280,"New York City",2011-03-29
"3601","Dancing","Ladies Love Hip Hop",94,"New York City",2017-03-01
"3602","Dancing","Lasies Styling Salsa in Long Island",8,"New York City",2017-08-18
"3603","Dancing","Latin Dancing in Washington Heights, NYC",138,"New York City",2017-09-08
"3604","Dancing","Learn to Swing Dance / Lindy Hop",197,"New York City",2010-05-11
"3605","Dancing","Life Is Now NYC Meetup",71,"New York City",2016-04-28
"3606","Dancing","Lindy Hoppers...Assemble! (SF/Daly City)",1,"San Francisco",2017-08-28
"3607","Dancing","Line Up Chicagoland",70,"Chicago",2017-01-29
"3608","Dancing","Live Latin Music & Dancing",901,"San Francisco",2014-11-10
"3609","Dancing","Ma'atic Movement & Ma'at Goddess Dance",13,"San Francisco",2017-09-21
"3610","Dancing","Mambo under the stars!",1,"New York City",2017-08-21
"3611","Dancing","Milonga and Tango Class + Performance June, 4",1,"Chicago",2017-05-31
"3612","Dancing","Mini Adventures For Free - Hiking, Dancing, Sports & More",2851,"New York City",2007-01-15
"3613","Dancing","New City Soul",9,"New York City",2014-02-13
"3614","Dancing","New York 'Breathe Easy' Fitness + Wellness Workouts Meetup",29,"New York City",2017-10-05
"3615","Dancing","New York Ballroom and Latin Dancing Meetup Group",1,"New York City",2008-08-15
"3616","Dancing","New York Beginner Salsa and Bachata Classes",1,"New York City",2017-01-07
"3617","Dancing","New York Bollywood Dancing Meet Up",1,"New York City",2017-06-29
"3618","Dancing","New York Brazilian & Latin Culture Meetup Through Dance",139,"New York City",2016-04-27
"3619","Dancing","New York City Early Saturday Tango Milonga Temprana",27,"New York City",2017-09-20
"3620","Dancing","New York City Salsa & Bachata Dancing",1,"New York City",2008-05-27
"3621","Dancing","New York City Swing Dance Group",2455,"New York City",2004-12-21
"3622","Dancing","New York Friends & Dance",1414,"New York City",2017-01-25
"3623","Dancing","New York Kizomba and Semba Meetup",47,"New York City",2016-04-27
"3624","Dancing","New York rock hip hop crew that does bible study after",1,"New York City",2017-09-23
"3625","Dancing","NEW YORK SALSA GROUP",835,"New York City",2007-09-12
"3626","Dancing","New York Salsa Meetup",41,"New York City",2016-11-06
"3627","Dancing","NEW YORK SALSA MEETUP",1,"New York City",2008-06-16
"3628","Dancing","New York Sexy Dance Fitness Meetup",1,"New York City",2015-03-31
"3629","Dancing","New York Social Dance Parties & Classes Meetup",1,"New York City",2015-09-18
"3630","Dancing","New York Social Dancing Meetup",767,"New York City",2015-05-04
"3631","Dancing","New York Swing Dancing Meetup",216,"New York City",2015-05-16
"3632","Dancing","New York Tango",1126,"New York City",2006-01-18
"3633","Dancing","New York Tango Practica Meetup - Rebecca Hosts",291,"New York City",2014-12-23
"3634","Dancing","NOSTALGIA MIX-LIVE MUSIC DANCING, SALSA, CUBAN, BA",561,"New York City",2015-07-15
"3635","Dancing","NY DANCE PARTIES",1,"New York City",2010-08-21
"3636","Dancing","NY HumanRiddims Meetup",27,"New York City",2016-08-08
"3637","Dancing","NY Tango: Shortcut To Happiness",442,"New York City",2011-12-29
"3638","Dancing","NYC Bachata Meet Up - Bachata in New York City!",1287,"New York City",2009-03-14
"3639","Dancing","NYC Barn Dance",460,"New York City",2007-01-14
